Product URL,Image URL,SKUs
https://www.anipet.co.il/product/14071/%D7%AA%D7%A2%D7%A8%D7%95%D7%91%D7%AA-%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%A2%D7%95%D7%A4%D7%95%D7%AA-%D7%A8%D7%99%D7%91%D7%95%D7%A1,https://cdn.modulus.co.il/anipet/tarovet_chicken(1).jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""7290008726047"""
https://www.anipet.co.il/product/13772/%D7%A8%D7%95%D7%99%D7%90%D7%9C-%D7%A7%D7%A0%D7%99%D7%9F-%D7%9E%D7%96%D7%95%D7%9F-%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C-%D7%99%D7%95%D7%A8%D7%99%D7%A0%D7%A8%D7%99-,https://cdn.modulus.co.il/anipet/Urinary-urinary-so-cat-dry-packshot(1).jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""3182550000000, 897, 900, 901"""
https://www.anipet.co.il/product/14072/%D7%AA%D7%A2%D7%A8%D7%95%D7%91%D7%AA-%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%99%D7%95%D7%A0%D7%99%D7%9D-%D7%A8%D7%99%D7%91%D7%95%D7%A1-,https://cdn.modulus.co.il/anipet/tarovet_yonim(1).jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""7290008726030"""
https://www.anipet.co.il/product/14073/%D7%AA%D7%A2%D7%A8%D7%95%D7%91%D7%AA-%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%AA%D7%95%D7%9B%D7%99%D7%9D-%D7%92%D7%93%D7%95%D7%9C%D7%99%D7%9D-%D7%A8%D7%99%D7%91%D7%95%D7%A1,https://cdn.modulus.co.il/anipet/tarovent_big_parrot(1).jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""7290008563956, 7290100343869"""
https://www.anipet.co.il/product/14075/%D7%AA%D7%A2%D7%A8%D7%95%D7%91%D7%AA-%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%A6%D7%99%D7%A4%D7%95%D7%A8%D7%99-%D7%90%D7%94%D7%91%D7%94-%D7%95%D7%A7%D7%95%D7%A7%D7%98%D7%99%D7%99%D7%9C%D7%99%D7%9D-%D7%A8%D7%99%D7%91%D7%95%D7%A1,https://cdn.modulus.co.il/anipet/tarovet_cocktail_love_bird(1).jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""7290008563963, 7290100343876"""
https://www.anipet.co.il/product/14076/%D7%9E%D7%96%D7%95%D7%9F-%D7%A1%D7%99%D7%98%D7%A8%D7%99%D7%94-%D7%90%D7%93%D7%95%D7%9E%D7%94-%D7%9C%D7%AA%D7%95%D7%9B%D7%99%D7%9D-%D7%A8%D7%99%D7%91%D7%95%D7%A1-,https://cdn.modulus.co.il/anipet/sitara(1).jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""7290008563864"""
https://www.anipet.co.il/product/14077/%D7%90%D7%95%D7%9B%D7%9C-%D7%9C%D7%AA%D7%95%D7%9B%D7%99%D7%9D-%D7%93%D7%95%D7%97%D7%9F-%D7%A8%D7%99%D7%91%D7%95%D7%A1-,https://cdn.modulus.co.il/anipet/ribos_dochan(1).jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""7290008563994"""
https://www.anipet.co.il/product/14078/%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%AA%D7%95%D7%9B%D7%99%D7%9D-%D7%92%D7%A8%D7%A2%D7%99%D7%A0%D7%99-%D7%97%D7%9E%D7%A0%D7%99%D7%95%D7%AA-%D7%A8%D7%99%D7%91%D7%95%D7%A1-,https://cdn.modulus.co.il/anipet/ribos_chamaniot(1).jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""7290008563925"""
https://www.anipet.co.il/product/13779/%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%92%D7%95%D7%A8%D7%99-%D7%9B%D7%9C%D7%91%D7%99%D7%9D-%D7%A7%D7%98%D7%A0%D7%99%D7%9D-%D7%9E%D7%99%D7%A0%D7%99-%D7%A2%D7%95%D7%A3-%D7%94%D7%99%D7%9C%D7%A1-%D7%A1%D7%99%D7%99%D7%A0%D7%A1-%D7%A4%D7%9C%D7%90%D7%9F-,https://cdn.modulus.co.il/anipet/sp-canine-science-plan-puppy-small-and-miniature-chicken-dry-productShot_zoom.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""1844, 1845, 1985, 52742038599"""
https://www.anipet.co.il/product/13791/%D7%A9%D7%99%D7%A8%D7%95%D7%AA%D7%99%D7%9D-%D7%9C%D7%97%D7%AA%D7%95%D7%9C-%D7%A7%D7%9C%D7%99%D7%A8-%D7%A7%D7%98-20,https://cdn.modulus.co.il/anipet/img%20(5)(1).jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""8010690178820"""
